Feature,Average_Importance,XGBoost_Importance,Random Forest_Importance
PATIENT_AGE,0.12,0.04,0.19
LOCATION_TYPE,0.1,0.06,0.14
PHYSICIAN_TYPE,0.07,0.04,0.1
RISK_NUM,0.07,0.05,0.09
SYMPTOM_TO_DIAGNOSIS_DAYS,0.04,0.03,0.06
PHYSICIAN_STATE,0.04,0.03,0.06
PRIOR_CONTRA_LVL,0.04,0.05,0.04
RISK_AGE_FLAG,0.04,0.04,0.04
PHYS_TOTAL_DX,0.04,0.05,0.02
RISK_CVD,0.03,0.03,0.04
RISK_IMMUNO,0.03,0.03,0.04
RISK_OBESITY,0.03,0.04,0.02
DX_SEASON,0.03,0.05,0.01
SYM_COUNT_5D,0.03,0.03,0.02
SYMPTOM_SORE_THROAT,0.02,0.03,0.01
SYMPTOM_COUGH,0.02,0.03,0.01
PATIENT_GENDER,0.02,0.02,0.02
SYMPTOM_DIARRHEA,0.02,0.03,0.01
SYMPTOM_HEADACHE,0.02,0.03,0.01
SYMPTOM_DIFFICULTY_BREATHING,0.02,0.03,0.01
INSURANCE_TYPE_AT_DX,0.02,0.03,0.01
RISK_DIABETES,0.02,0.03,0.01
SYMPTOM_FEVER,0.02,0.03,0.01
SYMPTOM_FATIGUE,0.02,0.02,0.01
DIAGNOSIS_WITHIN_5DAYS_FLAG,0.02,0.02,0.01
SYMPTOM_NAUSEA_AND_VOMITING,0.02,0.02,0.01
SYMPTOM_ACUTE_URI,0.02,0.03,0.01
SYMPTOM_ACUTE_PHARYNGITIS,0.02,0.02,0.01
SYMPTOM_CONGESTION,0.02,0.03,0.0
SYMPTOM_MUSCLE_ACHE,0.01,0.02,0.0
PHYS_EXPERIENCE_LEVEL,0.0,0.0,0.0
SYMPTOM_CHILLS,0.0,0.0,0.0
SYMPTOM_LOSS_OF_TASTE_OR_SMELL,0.0,0.0,0.0
