Feature,XGBoost_Importance
LOCATION_TYPE,0.06
RISK_NUM,0.05
PRIOR_CONTRA_LVL,0.05
PHYS_TOTAL_DX,0.05
DX_SEASON,0.05
PATIENT_AGE,0.04
PHYSICIAN_TYPE,0.04
RISK_AGE_FLAG,0.04
RISK_OBESITY,0.04
SYMPTOM_CONGESTION,0.03
SYMPTOM_FEVER,0.03
RISK_DIABETES,0.03
INSURANCE_TYPE_AT_DX,0.03
SYMPTOM_DIFFICULTY_BREATHING,0.03
SYMPTOM_HEADACHE,0.03
SYMPTOM_DIARRHEA,0.03
SYM_COUNT_5D,0.03
SYMPTOM_COUGH,0.03
SYMPTOM_SORE_THROAT,0.03
SYMPTOM_ACUTE_URI,0.03
RISK_IMMUNO,0.03
RISK_CVD,0.03
PHYSICIAN_STATE,0.03
SYMPTOM_TO_DIAGNOSIS_DAYS,0.03
SYMPTOM_MUSCLE_ACHE,0.02
SYMPTOM_ACUTE_PHARYNGITIS,0.02
PATIENT_GENDER,0.02
SYMPTOM_NAUSEA_AND_VOMITING,0.02
DIAGNOSIS_WITHIN_5DAYS_FLAG,0.02
SYMPTOM_FATIGUE,0.02
PHYS_EXPERIENCE_LEVEL,0.0
SYMPTOM_CHILLS,0.0
SYMPTOM_LOSS_OF_TASTE_OR_SMELL,0.0
